Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
0,70172,0,0,1.0,1,2,1,3,4,3,1,5,3,5,5,4,3,4,4,5,5,3,3,neutral or dissatisfied
1,5047,0,1,2.0,0,1,0,3,2,3,3,1,3,1,1,1,5,3,1,4,1,0,1,neutral or dissatisfied
3,24026,1,0,2.0,0,1,1,2,5,5,5,2,2,2,2,2,5,3,1,4,2,2,2,neutral or dissatisfied
5,111157,1,0,2.0,1,0,3,3,4,2,1,1,2,1,1,3,4,4,4,4,1,0,0,neutral or dissatisfied
6,82113,0,0,7.0,1,0,4,2,4,2,3,2,2,2,2,3,3,4,3,5,2,2,3,neutral or dissatisfied
8,79485,1,0,6.0,0,1,2,1,2,2,2,4,3,3,1,1,2,1,4,1,2,0,0,neutral or dissatisfied
9,65725,0,1,2.0,0,0,3,3,3,3,4,2,3,3,2,2,3,4,4,3,2,0,0,neutral or dissatisfied
10,34991,1,1,2.0,0,0,3,4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0,neutral or dissatisfied
11,51412,1,0,1.0,1,2,0,2,4,2,2,1,2,1,1,1,2,5,5,5,1,0,0,neutral or dissatisfied
12,98628,0,0,8.0,0,0,2,1,4,4,4,1,1,1,1,1,1,3,4,4,1,3,1,neutral or dissatisfied
14,95789,1,0,2.0,1,0,1,3,2,3,2,2,3,2,2,4,3,2,2,1,2,4,4,neutral or dissatisfied
15,100580,0,1,1.0,0,0,1,2,1,2,3,4,2,1,4,2,1,4,1,3,4,0,0,neutral or dissatisfied
19,66246,0,0,5.0,1,0,1,2,3,3,2,5,3,5,5,1,2,4,3,2,5,3,3,neutral or dissatisfied
20,39076,0,0,1.0,0,0,3,2,4,2,4,2,2,1,2,1,5,3,4,3,2,0,1,neutral or dissatisfied
21,22434,1,0,1.0,1,0,0,3,1,3,3,5,3,5,5,2,5,3,3,4,5,0,0,neutral or dissatisfied
22,43510,1,0,6.0,1,0,2,3,5,3,5,5,4,5,3,3,3,5,3,3,4,4,3,neutral or dissatisfied
23,114090,1,0,8.0,1,0,7,4,5,4,5,4,3,4,4,4,4,4,2,4,2,0,0,neutral or dissatisfied
25,102956,0,0,8.0,1,0,2,4,4,4,1,5,4,5,5,3,2,4,4,5,5,3,3,neutral or dissatisfied
28,118319,1,0,4.0,0,1,8,3,1,1,1,1,2,1,3,3,3,3,2,3,2,3,2,neutral or dissatisfied
29,75460,0,0,2.0,1,0,7,3,2,3,3,3,3,1,3,2,4,3,4,2,3,3,0,neutral or dissatisfied
31,27809,1,1,1.0,0,0,3,2,2,2,3,5,2,5,5,3,1,4,2,4,5,1,0,neutral or dissatisfied
